Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
MVOR13216	FG-COLOUR	PD63000023	FS63-000025	TWIN-L	21HM200-1	SO63000010	205.2	227.733	223.7	4.033	2.1	1.771	Pass	11.016	991.960	-1773.350	4893.210	4111.820	9/1/2020	18/1/2020	2	10	13
MVBL13149	FG-COLOUR	PD63000024	FS63-000026	TWIN-L	21HM200-2	SO63000010	105.3	105.3	103.2	2.1	2.1	1.994	Pass	12.604	705.180	176.680	606.380	1488.240	9/1/2020	18/1/2020	2	10	13
CPTC21394	TRADE-CO	PD63000051	FS63-000076	TWIN-L	21TM500-2	SO63000029	"5,000.00"	"5,000.00"	"5,000.00"	0	0.5	0	Pass	-26.834	-11232.310	14487.270	-59873.100	-56618.140	15/1/2020	18/1/2020	1	4	13
MBBK18054	FG-BLACK	PD63000087	FS63-000137	TWIN-L	21HM200-3	SO63000080	500	500	486.6	13.4	2.1	2.68	Fail	3.082	1814.150	13931.770	1.420	15747.340	13/1/2020	18/1/2020	2	6	11
SXVL04A	SCOL	PD63000133	FS63-000263	OT	21HM200-2	Manual	200	200	199.6	0.4	2.1	0.2	Pass	10.054	1124.260	311.050	0.000	1435.310	15/1/2020	18/1/2020	1	4	6
SE10GN01A	SCOL	PD63000200	FS63-000343	TWIN-L	21TM500-1	Manual	250	250	249.5	0.5	2.1	0.2	Pass	-10.951	-3169.890	-254.250	0.000	-3424.140	14/1/2020	18/1/2020	1	5	5
MEWH17578	FG-COL-WH	PD63000037	FS63-000062	TE75	21HM200-1	SO63000028	"7,800.00"	"7,800.00"	"7,750.00"	50	0.5	0.641	Fail	0.878	301.200	1797.420	-75.750	2022.870	9/1/2020	20/1/2020	3	12	15
MEWH17578	FG-COL-WH	PD63000038	FS63-000063	TE75	21HM200-5	SO63000028	"7,800.00"	"7,800.00"	"7,750.00"	50	0.5	0.641	Fail	0.992	427.960	1933.280	-75.740	2285.500	10/1/2020	20/1/2020	3	11	15
GENA21159	FG-GD-SER	PD63000065	FS63-000096	OT	25PM500-1	SO63000032	"7,500.00"	"7,500.00"	"7,500.00"	0	0.5	0	Pass	37.484	1797.950	1564.890	75.000	3437.840	9/1/2020	20/1/2020	3	12	14
MTYE20209	FG-COLOUR	PD63000140	FS63-000271	TWIN-L	21HM75-1	SO63000258	25.4	25.4	24.5	0.9	3.1	3.543	Fail	38.532	700.890	141.610	146.700	989.200	13/1/2020	20/1/2020	1	8	8
SRPPHP11	SRM	PD63000146	FS63-000281	OT	25PM500-3	Manual	"5,000.00"	"5,000.00"	"5,000.00"	0	0.5	0	Pass	0.288	-368.430	845.330	0.000	476.900	14/1/2020	20/1/2020	3	7	8
PXYE6451	FG-PM	PD63000182	FS63-000318	OT	21HM75-1	SO63000286	26.701	26.701	26.3	0.401	3.1	1.502	Pass	5.784	70.890	-85.410	138.020	123.500	14/1/2020	20/1/2020	1	7	7
MVYE16381	FG-COLOUR	PD63000185	FS63-000321	TWIN-L	21HM200-2	SO63000296	100	101.2	98.8	2.4	2.1	2.372	Fail	4.257	96.880	306.930	161.190	565.000	16/1/2020	20/1/2020	1	5	7
MTWH4640	FG-COL-WH	PD62004066	FS62-006773	TWIN-L	21HM200-1	SO62008157	"1,010.00"	"1,010.00"	962.8	47.2	1	4.673	Fail	-28.386	-34767.050	-2303.370	5781.430	-31288.990	24/12/2019	21/1/2020	2	29	35
MTWH61	FG-WHITE	PD62004077	FS62-006792	TWIN-L	21HM200-5	SO62008180	"1,010.06"	"1,010.06"	"1,000.00"	10.06	1	0.996	Pass	-17.486	-16987.230	-3205.450	3839.920	-16352.760	24/12/2019	21/1/2020	2	29	34
MVGY12974	FG-COLOUR	PD63000010	FS63-000010	TWIN-L	21HM200-3	SO62008358	52.4	54.511	51.6	2.911	3.1	5.34	Fail	177.718	8707.240	1054.280	259.740	10021.260	9/1/2020	21/1/2020	1	13	16
CPTC21394	TRADE-CO	PD63000052	FS63-000077	TWIN-L	21TM500-2	SO63000029	"5,000.00"	"5,000.00"	"5,000.00"	0	0.5	0	Pass	-25.212	-8100.140	15448.450	-59873.100	-52524.790	15/1/2020	21/1/2020	2	7	16
CPTC21394	TRADE-CO	PD63000053	FS63-000078	TWIN-L	21TM500-2	SO63000029	"5,000.00"	"5,000.00"	"4,915.00"	85	0.5	1.7	Fail	-22.962	-5807.060	17638.060	-58855.260	-47024.260	16/1/2020	21/1/2020	1	6	16
AESA254	FG-AD	PD63000177	FS63-000313	TWIN-L	21HM200-4	SO63000274	"1,009.80"	"1,009.80"	"1,002.90"	6.9	1	0.683	Pass	-11.064	-15033.960	-1977.580	3107.520	-13904.020	14/1/2020	21/1/2020	1	8	8
MPBL20013	FG-COLOUR	PD63000180	FS63-000316	TWIN-L	21HM75-1	SO63000276	26.701	26.701	26.3	0.401	3.1	1.502	Pass	44.448	1016.900	42.640	180.300	1239.840	14/1/2020	21/1/2020	1	8	8
SE01BK09A	SBK	PD63000213	FS63-000359	TWIN-L	21TM500-1	Manual	250	250	249.6	0.4	2.1	0.16	Pass	10.788	-147.230	-38.910	2792.600	2606.460	15/1/2020	21/1/2020	2	7	8
MEPK20207	FG-COLOUR	PD63000229	FS63-000401	TWIN-L	21HM200-1	SO63000344	102	102	98.4	3.6	2.1	3.529	Fail	3.994	513.290	1179.960	-203.740	1489.510	16/1/2020	21/1/2020	1	6	6
ATUV60	FG-AD	PD63000032	FS63-000057	TWIN-L	21HM200-4	SO63000026	507	575.182	569.9	5.282	2.1	0.918	Pass	-7.273	-11443.500	-12680.730	12682.100	-11442.130	14/1/2020	22/1/2020	1	9	17
MEWH17578	FG-COL-WH	PD63000039	FS63-000064	TE75	21HM200-5	SO63000028	"7,800.00"	"7,800.00"	"7,750.00"	50	0.5	0.641	Fail	1.277	952.180	2065.500	-75.750	2941.930	16/1/2020	22/1/2020	2	7	17
MEWH17578	FG-COL-WH	PD63000040	FS63-000065	TE75	21HM200-5	SO63000028	"7,800.00"	"7,800.00"	"7,750.00"	50	0.5	0.641	Fail	6.922	12658.950	3362.830	-75.750	15946.030	16/1/2020	22/1/2020	2	7	17
MEWH17578	FG-COL-WH	PD63000041	FS63-000066	TE75	21HM200-5	SO63000028	"7,800.00"	"7,800.00"	"7,750.00"	50	0.5	0.641	Fail	-0.773	-2984.890	1279.390	-75.750	-1781.250	16/1/2020	22/1/2020	2	7	17
CPTC21190	TRADE-FL	PD63000055	FS63-000080	TWIN-L	21HM200-2	SO63000030	"2,210.00"	"2,216.70"	"2,216.70"	0	0.5	0	Pass	-21.956	-107615.190	-10681.290	86997.860	-31298.620	17/1/2020	22/1/2020	1	6	16
GENA21159	FG-GD-SER	PD63000066	FS63-000097	OT	25PM500-1	SO63000032	"7,500.00"	"7,500.00"	"7,500.00"	0	0.5	0	Pass	27.484	1307.610	1138.100	75.000	2520.710	14/1/2020	22/1/2020	1	9	16
MEGY2178	FG-COLOUR	PD63000095	FS63-000152	TWIN-L	21HM200-3	SO63000125	52.8	59.636	58.2	1.436	3.1	2.408	Pass	148.734	9127.700	476.800	1086.880	10691.380	8/1/2020	22/1/2020	2	15	15
